date,price,series_type,commodity,state,mandi_name
2023-06-06,850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-07,800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-09,1250.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-10,1250.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-11,1300.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-12,1400.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-13,1550.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-14,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-16,1650.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-17,1350.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-18,1400.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-19,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-20,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-21,1900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-23,1600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-24,1550.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-25,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-26,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-27,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-28,1600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-06-30,1800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-01,1750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-02,1800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-03,1750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-04,1800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-05,1850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-07,1800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-08,1800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-11,1750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-12,1850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-15,1850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-16,1800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-17,1850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-18,2000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-19,2000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-21,2100.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-22,1650.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-23,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-24,1850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-25,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-26,1900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-28,1900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-29,1850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-30,1900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-07-31,1600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-01,1600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-02,1700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-04,2000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-05,1900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-06,2000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-07,2250.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-08,2200.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-09,2350.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-11,1950.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-12,2000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-13,2100.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-14,2500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-16,2350.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-18,2500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-19,2300.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-20,2500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-21,2750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-22,2650.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-23,2600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-25,2750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-26,2600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-27,2750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-28,2600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-29,2750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-08-30,2700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-01,2250.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-02,2250.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-03,2150.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-04,2250.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-05,2100.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-06,2700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-08,2350.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-09,2350.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-10,2700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-11,2500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-12,2700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-13,2500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-15,2350.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-16,2400.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-17,2350.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-18,2500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-19,2600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-20,2500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-21,2600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-23,2400.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-24,2250.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-25,2400.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-26,2750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-09-27,2650.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-02,2600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-03,2650.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-04,2750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-06,2850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-07,2900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-08,2700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-09,2650.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-10,2600.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-11,2700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-13,2800.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-14,2750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-15,2900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-16,2900.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-17,3000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-18,2700.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-20,3000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-21,3000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-22,3500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-23,4000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-24,4000.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-25,3750.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-27,3500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-28,3500.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
2023-10-29,3850.0,actual,Onion,Maharashtra,Amrawati (Fruit & Veg Market)
